Game,TotalEarnings,TotalPlayers,TotalTournaments
Dota 2,279153000.7,4180,1590
Counter-Strike: Global Offensive,129352068.9,14708,6081
Fortnite,111339316.1,4931,750
League of Legends,90041272.98,8018,2665
PLAYERUNKNOWNâ€™S BATTLEGROUNDS,42981357.41,3052,388
Arena of Valor,41290753.03,812,73
StarCraft II,36249504.04,2115,6283
Overwatch,32213162.28,3617,765
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,31118651.32,1814,74
Hearthstone,26689371.78,2665,948
Rainbow Six Siege,20584184.83,2162,352
Heroes of the Storm,18280006.65,1271,478
Rocket League,16787959.34,1985,1969
Counter-Strike,13553955.46,4225,1017
Apex Legends,9437038.69,1538,414
SMITE,9250112.75,545,97
Call of Duty: Warzone,8996609.13,1125,298
VALORANT,8859667.5,3614,632
StarCraft: Brood War,8627165.61,686,690
Magic: The Gathering Arena,8488000.0,282,48
Call of Duty: Modern Warfare,7500784.5,382,81
Halo 5: Guardians,7105480.97,239,77
World of WarCraft,6976337.61,472,164
Call of Duty: Black Ops 4,6731938.95,379,68
CrossFire,6609445.02,643,310
Call of Duty: Black Ops Cold War,6035000.0,243,61
WarCraft III,5811479.73,558,1335
Call of Duty: World War II,4560271.0,270,65
Free Fire,4415734.23,659,31
Call of Duty: Infinite Warfare,4156205.06,341,80
Call of Duty: Black Ops III,3939783.29,419,78
World of Tanks,3671496.59,404,51
Super Smash Bros. Melee,3497427.71,1913,2628
Clash Royale,3363348.27,290,51
FIFA 19,3242642.34,299,48
Shadowverse,3211177.09,239,42
Counter-Strike: Source,3117222.29,1502,333
Gears of War 4,3087285.0,135,41
Call of Duty: Mobile,3057280.0,185,6
Heroes of Newerth,2918706.56,813,371
Quake Champions,2760795.7,269,249
Clash of Clans,2720852.87,191,40
chess24,2705625.43,80,19
Call of Duty: Advanced Warfare,2611808.93,783,405
Brawl Stars,2557950.0,215,31
iRacing.com,2428774.43,1141,152
Paladins,2360057.6,599,78
Halo 3,2318079.4,214,43
Age of Empires II,2296502.8,1528,1140
Street Fighter V: Arcade Edition,2266885.95,235,105